ID_protein	gene	gene_name	PE	SV
tr|A0A1W5BM90|A0A1W5BM90_CIOIN	Prostaglandin reductase 1	LOC100179413	PE=3	SV=1
tr|F6RA92|F6RA92_CIOIN	Presenilin		PE=3	SV=2
tr|F6U899|F6U899_CIOIN	protein deglycase		PE=3	SV=2
tr|H2XYB3|H2XYB3_CIOIN	ATP-binding cassette sub-family B member 6		PE=3	SV=1
tr|H2XYH1|H2XYH1_CIOIN	Prostaglandin reductase 1	LOC100182376	PE=3	SV=1
tr|H2Y3E5|H2Y3E5_CIOIN	Ketosynthase family 3 (KS3) domain-containing protein		PE=4	SV=1
tr|A0A140TAT7|A0A140TAT7_CIOIN	Serine hydroxymethyltransferase	LOC100176513	PE=3	SV=1
tr|A0A1W2WEA2|A0A1W2WEA2_CIOIN	Adenylate kinase	LOC100181027	PE=3	SV=1
tr|F6PYU7|F6PYU7_CIOIN	ATP-dependent 6-phosphofructokinase		PE=3	SV=2
tr|F6UHS2|F6UHS2_CIOIN	UMP-CMP kinase	LOC100186749	PE=3	SV=1
tr|F6VN10|F6VN10_CIOIN	UMP-CMP kinase	LOC100182227	PE=3	SV=2
tr|F6WT59|F6WT59_CIOIN	Flavin-containing monooxygenase		PE=3	SV=2
tr|F6WYU9|F6WYU9_CIOIN	ATP-dependent DNA helicase PIF1	PIF1	PE=3	SV=1
sp|F6Y089|ITPA_CIOIN	Inosine triphosphate pyrophosphatase		PE=3	SV=1
tr|F6YPB8|F6YPB8_CIOIN	Flavin-containing monooxygenase		PE=3	SV=2
tr|F7A2G6|F7A2G6_CIOIN	Kynureninase	KYNU	PE=3	SV=2
tr|F7A2X8|F7A2X8_CIOIN	Trifunctional purine biosynthetic protein adenosine-3		PE=3	SV=2
tr|F7AA01|F7AA01_CIOIN	Glucosylceramidase		PE=3	SV=2
tr|F7ADF2|F7ADF2_CIOIN	Peroxiredoxin-6	LOC100177610	PE=3	SV=1
tr|F7AI88|F7AI88_CIOIN	Fragile X mental retardation syndrome-related protein 1	LOC100187236	PE=4	SV=2
tr|F7BHA0|F7BHA0_CIOIN	78 kDa glucose-regulated protein	LOC100186609	PE=3	SV=2
tr|F7BLP5|F7BLP5_CIOIN	N-acyl-aromatic-L-amino acid amidohydrolase		PE=4	SV=1
sp|F7J186|NVD1_CIOIN	Cholesterol 7-desaturase nvd 1	nvd-Ci-1	PE=1	SV=2
sp|F7J187|NVD2_CIOIN	Cholesterol 7-desaturase nvd 2	nvd-Ci-2	PE=1	SV=2
tr|H2XJY8|H2XJY8_CIOIN	Glucosylceramidase		PE=3	SV=1
tr|H2XLI2|H2XLI2_CIOIN	Lissencephaly-1 homolog	LOC100180225	PE=3	SV=1
tr|H2XM57|H2XM57_CIOIN	Oxidized purine nucleoside triphosphate hydrolase		PE=3	SV=1
tr|H2XP90|H2XP90_CIOIN	Kynureninase	KYNU	PE=3	SV=1
tr|H2XQ11|H2XQ11_CIOIN	Glucosylceramidase		PE=3	SV=1
tr|H2XYS1|H2XYS1_CIOIN	Kynureninase	KYNU	PE=3	SV=1
sp|P61802|APTX_CIOIN	Aprataxin	APTX	PE=2	SV=1
sp|Q1JV40|HVCN1_CIOIN	Voltage-gated hydrogen channel 1	HVCN1	PE=2	SV=1
tr|Q1RPY5|Q1RPY5_CIOIN	RING-type E3 ubiquitin transferase	Ci-ZF(TRAF/RING)-3	PE=2	SV=1
sp|Q4H3K6|FGFR_CIOIN	Fibroblast growth factor receptor	FGFR	PE=2	SV=1
sp|Q5QQ55|XYLT_CIOIN	Xylosyltransferase	xt	PE=2	SV=1
