protein_id_transcript	protein_id_gene	human_id	hgnc	number_of_peptides	unfE	fertE	cell16	iniG	latN	midTII	latTII	larva
KY21.Chr1.10.v1.nonSL2-1	KY21.Chr1.10	TAF9	HGNC:11542	5	1.03843924610358	1.00773890276894	1.00036515885365	0.960819952391914	0.999966618809722	0.862185994763772	1.05908433354134	1.07139979276708
KY21.Chr1.1000.v1.SL1-1	KY21.Chr1.1000	PSMB7	HGNC:9544	13	1.05962242630432	1.07909827942071	1.06248147405082	0.917092411544185	0.941544020648364	0.946744846592798	1.02521101060118	0.968205530837622
KY21.Chr1.1001.v1.SL1-1	KY21.Chr1.1001	LRRC47	HGNC:29207	15	0.902077406241161	0.856166836553269	0.974077121786285	0.941953025080226	0.98031154666744	1.03873352317897	1.12688009090237	1.17980044959028
KY21.Chr1.1002.v1.SL1-1	KY21.Chr1.1002	TDRD1	HGNC:11712	6	3.36041536526858	3.19902965768378	0.51295558384125	0.123817036821944	0.186759507379731	0.198937642146401	0.240191254853933	0.177893952004388
KY21.Chr1.1004.v1.nonSL4-1	KY21.Chr1.1004	DNAJC2	HGNC:13192	21	0.907339695358324	0.880215166549953	0.987113997925488	0.974773566322821	1.0308486434645	1.08475647116518	1.05170580345559	1.08324665575814
KY21.Chr1.1005.v1.ND1-1	KY21.Chr1.1005	MYO18B	HGNC:18150	9	1.00175492824365	1.0039570090191	1.3570765449789	1.17936953525552	0.970712681433176	0.928341501920926	0.782682631314654	0.776105167834071
KY21.Chr1.1006.v1.SL1-1	KY21.Chr1.1006	NUAK1	HGNC:14311	1	1.62615744904611	1.41159345860267	0.224052384706179	0.194535349002312	1.08301601244848	1.16544935676436	1.14260828192771	1.15258770750217
KY21.Chr1.1009.v1.ND1-1	KY21.Chr1.1009	SUMF1	HGNC:20376	12	1.36814635671513	1.30023717825717	1.32868494265158	0.773972369583381	0.790411320930319	0.829134793118608	0.854660316977125	0.75475272176668
KY21.Chr1.101.v1.SL1-1	KY21.Chr1.101	NAA10	HGNC:18704	9	0.835704363887161	0.80447299484187	0.81123568949397	0.987017098230519	1.04828797291535	1.06962265094851	1.23519080969351	1.20846841998911
KY21.Chr1.1010.v1.nonSL1-1	KY21.Chr1.1010	GAS2	HGNC:4167	1	2.22809467182279	2.49998517143367	0.39367236196758	0.350932933526238	0.453194186115236	0.456369280984189	0.958580966486139	0.659170427664157
KY21.Chr1.1011.v1.SL1-1	KY21.Chr1.1011	SLC9A9	HGNC:20653	2	0.695995036140643	0.662608238519204	0.779395521283092	0.945312123448224	1.09936166577583	1.0935498563763	1.34439342075196	1.37938413770475
KY21.Chr1.1012.v1.SL1-1	KY21.Chr1.1012	SPEN	HGNC:17575	24	0.850892910297093	0.870211033185144	0.872901590463243	0.942581884387638	0.988114389424916	1.09177243778444	1.22305570505873	1.16047004939879
KY21.Chr1.1013.v1.ND1-1	KY21.Chr1.1013	SPEN	HGNC:17575	5	1.04218014663136	0.902599122526092	0.94032017884323	0.845898571918662	1.03065074278241	1.03070194273387	1.09130395326062	1.11634534130376
KY21.Chr1.1014.v2.ND2-1	KY21.Chr1.1014	XPO7	HGNC:14108	25	0.980933644707632	0.96969645176928	1.02299725655702	1.01827528035483	1.0737406541495	1.02741390470021	0.94155256595367	0.965390241807849
KY21.Chr1.1015.v1.SL1-1	KY21.Chr1.1015	RFK	HGNC:30324	1	1.06680121660281	1.03594618220001	0.95816387070509	1.22535612322868	1.01471284534275	0.960719726379674	0.849828443273643	0.888471592267343
KY21.Chr1.1016.v1.SL1-1	KY21.Chr1.1016	CPOX	HGNC:2321	11	0.829411355719403	0.851136998426913	0.973111027132023	0.956075752528513	1.0136167067497	1.05657379262058	1.16302625228968	1.15704811453318
KY21.Chr1.1018.v1.nonSL1-1	KY21.Chr1.1018	ABRAXAS2	HGNC:28975	3	0.787902767830202	0.986315895453868	1.09876103361399	1.10435681266091	0.991982614270357	1.06887757982176	0.956982586713128	1.00482070963578
KY21.Chr1.1019.v1.SL1-1	KY21.Chr1.1019	PPM1G	HGNC:9278	11	0.811782618039234	0.785186639195375	0.919293981491071	1.04897806364328	1.08085078946259	1.0564834330174	1.16950619730508	1.12791827784596
KY21.Chr1.102.v1.nonSL2-1	KY21.Chr1.102	DNAJB9	HGNC:6968	2	0.307294022337373	0.295090691525391	0.635902593119855	0.77769957112269	1.12204889211639	1.50421255802529	1.48150163862732	1.8762500331257
KY21.Chr1.1020.v1.SL1-1	KY21.Chr1.1020	MGME1	HGNC:16205	2	1.46774360540806	1.07230145098452	0.975529286910903	0.734369543498411	0.766801830418416	1.14318966038228	0.905012943490484	0.935051678906914
KY21.Chr1.1022.v1.ND1-1	KY21.Chr1.1022	CCDC15	HGNC:25798	2	0.444568034954877	0.475996057151481	0.794633570575978	1.45184826885318	1.6993811820532	1.29438944787226	1.06857962350364	0.770603815035386
KY21.Chr1.1024.v1.SL1-1	KY21.Chr1.1024	CEP85	HGNC:25309	10	1.0799126829388	1.15005195794238	0.972266966824381	0.513590011675802	0.666854290336017	0.885423474528134	1.22899670636627	1.50290390938821
KY21.Chr1.1027.v2.nonSL3-1	KY21.Chr1.1027	GNAI1	HGNC:4384	7	0.827416500056827	0.810005586441986	1.00310403243768	0.918937491835366	0.880904530917374	0.987959721899934	1.17562882491615	1.39604331149469
KY21.Chr1.1029.v1.SL1-1	KY21.Chr1.1029	UVRAG	HGNC:12640	2	0.77711257048587	0.683238234949949	0.949977260889725	0.9503281349922	1.00298703180385	1.20866634481137	1.20687438204116	1.22081604002588
KY21.Chr1.1031.v1.ND1-1	KY21.Chr1.1031	EPC1	HGNC:19876	3	0.943799051433178	0.848521057431736	0.945798384189184	0.731058794790851	1.0447871403637	1.1030032344641	1.1099549459517	1.27307739137556
KY21.Chr1.1035.v1.SL1-1	KY21.Chr1.1035	DDX58	HGNC:19102	8	0.619292692484988	0.559398821038328	0.820370490404513	0.989828050375362	1.04938081149953	1.15493746059586	1.32028146758311	1.4865102060183
KY21.Chr1.1040.v1.nonSL7-1	KY21.Chr1.1040	APIP	HGNC:17581	2	0.621659963621712	0.666321990928096	0.771917835885167	1.04638432472309	0.958008089107951	0.987022208261295	1.53218112627374	1.41650446119894
KY21.Chr1.1041.v1.nonSL2-1	KY21.Chr1.1041	GPR155	HGNC:22951	1	2.29243843458883	0.651116632844624	0.744296194818561	0.366499233349165	0.141165554139856	0.570361056174645	1.03077132795171	2.20335156613261
KY21.Chr1.1042.v1.nonSL4-1	KY21.Chr1.1042	SH3GLB1	HGNC:10833	8	1.11534726390722	1.03991900495995	1.01503582151372	0.94671812983734	0.972251798046002	0.923722370876198	0.982450104450677	1.00455550640889
KY21.Chr1.1045.v1.SL1-1	KY21.Chr1.1045	TXN	HGNC:12435	4	7.21184079178407	0.510195592996111	0.082862617307762	0.00756404295907135	0.0039527311620751	0.00694433920834588	0.016462966266813	0.160176918315748
KY21.Chr1.1046.v1.SL1-1	KY21.Chr1.1046	RBM33	HGNC:27223	8	0.474149521495067	0.598088101825156	1.14275352713585	1.01958195835761	1.20498913017483	1.17607881243052	1.33035127010245	1.05400767847853
KY21.Chr1.1050.v1.SL1-1	KY21.Chr1.1050	GSTM3	HGNC:4635	17	0.984703131500172	0.980984222590421	1.10503442432763	0.919259994846132	0.954495787410557	0.905173397352772	1.05773544176811	1.09261360020421
KY21.Chr1.1051.v1.SL1-1	KY21.Chr1.1051	CYRIB	HGNC:25216	6	0.72584335487747	0.489316540177649	0.808968449278605	0.842457568207721	1.01647026038336	1.10478081018228	1.15715908521378	1.85500393167914
KY21.Chr1.1055.v1.SL1-1	KY21.Chr1.1055	PRIM2	HGNC:9370	14	1.06814059198506	1.02670306533903	1.12997133770687	1.10215475496563	1.1586905784173	0.945215619132589	0.844798867195841	0.724325185257683
