protein_id_transcript	protein_id_gene	human_id	hgnc	number_of_peptides	unfE	fertE	cell16	iniG	latN	midTII	latTII	larva
KY21.Chr1.10.v1.nonSL2-1	KY21.Chr1.10	TAF9	HGNC:11542	5	0.129804905762948	0.125967362846117	0.125045644856706	0.120102494048989	0.124995827351215	0.107773249345471	0.132385541692668	0.133924974095885
KY21.Chr1.1000.v1.SL1-1	KY21.Chr1.1000	PSMB7	HGNC:9544	13	0.13245280328804	0.134887284927589	0.132810184256353	0.114636551443023	0.117693002581045	0.1183431058241	0.128151376325147	0.121025691354703
KY21.Chr1.1001.v1.SL1-1	KY21.Chr1.1001	LRRC47	HGNC:29207	15	0.112759675780145	0.107020854569159	0.121759640223286	0.117744128135028	0.12253894333343	0.129841690397371	0.140860011362796	0.147475056198785
KY21.Chr1.1002.v1.SL1-1	KY21.Chr1.1002	TDRD1	HGNC:11712	6	0.420051920658572	0.399878707210472	0.0641194479801562	0.015477129602743	0.0233449384224664	0.0248672052683002	0.0300239068567416	0.0222367440005486
KY21.Chr1.1004.v1.nonSL4-1	KY21.Chr1.1004	DNAJC2	HGNC:13192	21	0.113417461919791	0.110026895818744	0.123389249740686	0.121846695790353	0.128856080433063	0.135594558895648	0.131463225431949	0.135405831969767
KY21.Chr1.1005.v1.ND1-1	KY21.Chr1.1005	MYO18B	HGNC:18150	9	0.125219366030456	0.125494626127388	0.169634568122363	0.147421191906941	0.121339085179147	0.116042687740116	0.0978353289143317	0.0970131459792589
KY21.Chr1.1006.v1.SL1-1	KY21.Chr1.1006	NUAK1	HGNC:14311	1	0.203269681130763	0.176449182325334	0.0280065480882724	0.024316918625289	0.13537700155606	0.145681169595545	0.142826035240964	0.144073463437772
KY21.Chr1.1009.v1.ND1-1	KY21.Chr1.1009	SUMF1	HGNC:20376	12	0.171018294589392	0.162529647282146	0.166085617831448	0.0967465461979226	0.0988014151162898	0.103641849139826	0.106832539622141	0.094344090220835
KY21.Chr1.101.v1.SL1-1	KY21.Chr1.101	NAA10	HGNC:18704	9	0.104463045485895	0.100559124355234	0.101404461186746	0.123377137278815	0.131035996614419	0.133702831368564	0.154398851211689	0.151058552498639
KY21.Chr1.1010.v1.nonSL1-1	KY21.Chr1.1010	GAS2	HGNC:4167	1	0.278511833977849	0.312498146429209	0.0492090452459475	0.0438666166907798	0.0566492732644045	0.0570461601230236	0.119822620810767	0.0823963034580197
