queryId	subjectId	identity.x	alignmentLength.x	mismatch.x	gapopen.x	qstart.x	qend.x	sstart.x	send.x	evalue.x	bitscore.x	identity.y	alignmentLength.y	mismatch.y	gapopen.y	qstart.y	qend.y	sstart.y	send.y	evalue.y	bitscore.y
ENSCING00000025193	tr|Q8HIN9|Q8HIN9_CIOIN	79.874	159	32	0	1	159	1	159	9.26e-77	224	79.874	159	32	0	1	159	1	159	2e-62	188
ENSCING00000025200	tr|Q8HIN7|Q8HIN7_CIOIN	84.594	357	55	0	1	357	1	357	0	587	84.594	357	55	0	1	357	1	357	0	564
ENSCING00000025203	tr|Q8HIN5|Q8HIN5_CIOIN	85.596	361	52	0	1	361	1	361	0	541	85.632	348	50	0	1	348	1	348	0	508
ENSCING00000025206	tr|Q8HIN4|Q8HIN4_CIOIN	79.71	69	14	0	24	92	24	92	8.72e-34	110	81.538	65	12	0	28	92	28	92	8.98e-20	75.9
ENSCING00000025210	tr|Q8HIN3|Q8HIN3_CIOIN	83.969	262	42	0	1	262	1	262	4.14e-149	416	83.969	262	42	0	1	262	1	262	5.01e-149	416
ENSCING00000025212	tr|Q8HIN2|Q8HIN2_CIOIN	87.719	285	35	0	18	302	18	302	1.96e-158	442	87.719	285	35	0	18	302	18	302	1.24e-144	408
ENSCING00000025215	tr|Q8HIN1|Q8HIN1_CIOIN	89.381	113	12	0	1	113	1	113	2.14e-57	172	89.381	113	12	0	1	113	1	113	4.72e-57	171
ENSCING00000025218	tr|Q8HIN0|Q8HIN0_CIOIN	81.9	442	80	0	1	442	1	442	0	731	81.9	442	80	0	1	442	1	442	0	673
ENSCING00000025220	tr|Q7YEU2|Q7YEU2_CIOIN	97.143	35	1	0	1	35	1	35	1.17e-17	65.9	97.143	35	1	0	1	35	1	35	1.83e-17	65.9
ENSCING00000025226	tr|Q8HIM9|Q8HIM9_CIOIN	84.231	520	82	0	1	520	1	520	0	842	84.231	520	82	0	1	520	1	520	0	813
ENSCING00000025228	tr|Q8HIM8|Q8HIM8_CIOIN	82.007	578	104	0	1	578	1	578	0	904	82.111	559	100	0	1	559	1	559	0	858
KY21.Chr1.1	tr|F6XVV4|F6XVV4_CIOIN	98.352	182	3	0	33	214	1	182	8.37e-135	375	98.352	182	3	0	1	182	33	214	1.07e-134	375
KY21.Chr1.10	tr|F6QLU5|F6QLU5_CIOIN	100	181	0	0	3	183	1	181	1.15e-135	375	100	181	0	0	1	181	3	183	1.77e-135	375
KY21.Chr1.100	tr|F6Q711|F6Q711_CIOIN	97.74	177	4	0	6	182	1	177	1.61e-124	360	97.74	177	4	0	1	177	6	182	8.51e-125	360
KY21.Chr1.1000	tr|H2XVD5|H2XVD5_CIOIN	100	276	0	0	14	289	1	276	0	576	100	276	0	0	1	276	14	289	0	576
KY21.Chr1.1001	tr|F6ZLN5|F6ZLN5_CIOIN	99.308	578	4	0	1	578	11	588	0	1170	99.308	578	4	0	11	588	1	578	0	1170
KY21.Chr1.1004	tr|F6WJQ9|F6WJQ9_CIOIN	99.161	596	5	0	9	604	1	596	0	1219	99.161	596	5	0	1	596	9	604	0	1219
KY21.Chr1.1005	tr|F6VY59|F6VY59_CIOIN	99.812	532	1	0	8	539	1	532	0	1110	99.812	532	1	0	1	532	8	539	0	1110
KY21.Chr1.1006	tr|F6VXQ6|F6VXQ6_CIOIN	99.632	272	1	0	7	278	1	272	0	577	99.632	272	1	0	1	272	7	278	0	577
KY21.Chr1.1008	tr|F6VXL3|F6VXL3_CIOIN	99.514	617	3	0	98	714	6	622	0	1280	99.514	617	3	0	6	622	98	714	0	1280
KY21.Chr1.1009	tr|F6PT55|F6PT55_CIOIN	98.841	345	1	1	58	399	33	377	0	709	98.841	345	1	1	33	377	58	399	0	709
KY21.Chr1.101	tr|F6YLC1|F6YLC1_CIOIN	99.087	219	2	0	17	235	1	219	2.21e-165	454	99.087	219	2	0	1	219	17	235	3.22e-165	454
KY21.Chr1.1011	tr|F6SKI3|F6SKI3_CIOIN	96.54	607	6	2	1	592	48	654	0	1194	96.54	607	6	2	48	654	1	592	0	1194
KY21.Chr1.1012	tr|H2XRQ2|H2XRQ2_CIOIN	100	206	0	0	543	748	1	206	2.95e-143	443	100	206	0	0	1	206	543	748	2.39e-144	443
KY21.Chr1.1013	tr|H2XTQ6|H2XTQ6_CIOIN	100	247	0	0	680	926	1	247	0	522	100	247	0	0	1	247	680	926	0	522
KY21.Chr1.1014	tr|F7B593|F7B593_CIOIN	94.172	652	22	5	333	976	1	644	0	1239	94.172	652	22	5	1	644	333	976	0	1238
KY21.Chr1.1015	tr|H2Y3J4|H2Y3J4_CIOIN	98.333	180	3	0	9	188	2	181	1.11e-133	370	98.333	180	3	0	2	181	9	188	1.67e-133	370
KY21.Chr1.1017	tr|F7B670|F7B670_CIOIN	99.235	392	3	0	3	394	1	392	0	813	99.235	392	3	0	1	392	3	394	0	813
KY21.Chr1.1018	tr|F6PT97|F6PT97_CIOIN	99.743	389	1	0	10	398	1	389	0	799	99.743	389	1	0	1	389	10	398	0	799
KY21.Chr1.1019	tr|F6PTJ9|F6PTJ9_CIOIN	91.312	564	3	3	5	560	1	526	0	1024	91.312	564	3	3	1	526	5	560	0	1024
KY21.Chr1.102	tr|H2XRR7|H2XRR7_CIOIN	84.167	240	6	3	10	228	1	229	4.96e-123	347	83.258	221	5	3	1	210	10	209	1.93e-115	328
KY21.Chr1.1020	tr|F7BPA9|F7BPA9_CIOIN	98.473	262	4	0	10	271	1	262	0	544	98.473	262	4	0	1	262	10	271	0	544
KY21.Chr1.1021	tr|F6PTP2|F6PTP2_CIOIN	100	65	0	0	5	69	1	65	1.62e-42	130	100	65	0	0	1	65	5	69	2.38e-42	130
KY21.Chr1.1022	tr|F7BPC2|F7BPC2_CIOIN	97.959	588	4	1	10	597	1	580	0	1179	97.959	588	4	1	1	580	10	597	0	1179
KY21.Chr1.1023	tr|F7BPM7|F7BPM7_CIOIN	100	218	0	0	14	231	1	218	1.18e-163	449	100	218	0	0	1	218	14	231	1.75e-163	449
KY21.Chr1.1024	tr|F7BPR4|F7BPR4_CIOIN	100	534	0	0	260	793	1	534	0	1092	100	534	0	0	1	534	260	793	0	1092
KY21.Chr1.1025	tr|H2XYQ6|H2XYQ6_CIOIN	100	53	0	0	13	65	1	53	1.25e-32	114	100	53	0	0	1	53	13	65	3.08e-33	114
KY21.Chr1.1026	tr|F7BBL9|F7BBL9_CIOIN	96.575	438	6	1	39	467	1	438	0	875	96.575	438	6	1	1	438	39	467	0	875
KY21.Chr1.1027	tr|Q8WSS2|Q8WSS2_CIOIN	100	354	0	0	42	395	1	354	0	737	100	354	0	0	1	354	42	395	0	737
KY21.Chr1.1029	tr|F6RUV6|F6RUV6_CIOIN	99.474	760	4	0	5	764	1	760	0	1572	99.474	760	4	0	1	760	5	764	0	1572
KY21.Chr1.1030	tr|H2Y105|H2Y105_CIOIN	97.297	37	1	0	8	44	1	37	9.2e-21	75.1	97.297	37	1	0	1	37	8	44	1.17e-20	75.1
KY21.Chr1.1031	tr|F6PU76|F6PU76_CIOIN	98.936	376	3	1	19	393	1	376	0	767	98.936	376	3	1	1	376	19	393	0	767
KY21.Chr1.1033	tr|H2Y1H8|H2Y1H8_CIOIN	99.429	175	1	0	9	183	1	175	6.07e-111	312	99.429	175	1	0	1	175	9	183	9.08e-111	312
KY21.Chr1.1034	tr|F6PUA0|F6PUA0_CIOIN	98.052	154	3	0	1	154	1	154	8.76e-103	292	98.052	154	3	0	1	154	1	154	1.2e-102	292
KY21.Chr1.1035	tr|F6PUL6|F6PUL6_CIOIN	99.756	410	1	0	18	427	1	410	0	855	99.756	410	1	0	1	410	18	427	0	855
KY21.Chr1.1037	tr|F6TV99|F6TV99_CIOIN	99.587	242	1	0	11	252	1	242	3.32e-179	507	99.587	242	1	0	1	242	11	252	1.89e-179	507
KY21.Chr1.1038	tr|F6UIC9|F6UIC9_CIOIN	99.158	475	4	0	12	486	1	475	0	943	99.158	475	4	0	1	475	12	486	0	943
KY21.Chr1.104	tr|F6YLK0|F6YLK0_CIOIN	84.672	274	22	2	71	329	1	269	6.16e-168	467	84.672	274	22	2	1	269	71	329	2.1e-166	463
KY21.Chr1.1040	tr|F6UIW1|F6UIW1_CIOIN	100	237	0	0	28	264	1	237	1.62e-180	494	100	237	0	0	1	237	28	264	2.27e-180	494
KY21.Chr1.1041	tr|F6PHT6|F6PHT6_CIOIN	99.828	581	1	0	5	585	1	581	0	1170	99.828	581	1	0	1	581	5	585	0	1170
KY21.Chr1.1042	tr|F6V8Q9|F6V8Q9_CIOIN	99.721	358	1	0	1	358	1	358	0	748	99.721	358	1	0	1	358	1	358	0	748
KY21.Chr1.1043	tr|Q6L5M4|Q6L5M4_CIOIN	98.387	186	3	0	31	216	1	186	1.49e-137	381	98.387	186	3	0	1	186	31	216	2.01e-137	381
KY21.Chr1.1044	tr|F6V9C5|F6V9C5_CIOIN	98.866	441	1	1	1	441	1	437	0	908	98.866	441	1	1	1	437	1	441	0	908
KY21.Chr1.1046	tr|H2Y067|H2Y067_CIOIN	98.343	181	3	0	565	745	1	181	1.93e-109	332	98.343	181	3	0	1	181	565	745	6.33e-110	332
KY21.Chr1.1048	tr|F6PYN6|F6PYN6_CIOIN	98.917	277	3	0	3	279	1	277	0	565	98.917	277	3	0	1	277	3	279	0	565
KY21.Chr1.1049	tr|F6PYQ4|F6PYQ4_CIOIN	95.628	183	7	1	1	183	1	182	1.14e-124	354	95.628	183	7	1	1	182	1	183	9.59e-125	354
KY21.Chr1.1050	tr|F6V9K6|F6V9K6_CIOIN	99.091	220	2	0	1	220	1	220	7.7e-167	457	99.091	220	2	0	1	220	1	220	1.21e-166	457
KY21.Chr1.1051	tr|F6PYR8|F6PYR8_CIOIN	100	329	0	0	18	346	1	329	0	687	100	329	0	0	1	329	18	346	0	687
KY21.Chr1.1052	tr|F6PZ36|F6PZ36_CIOIN	100	229	0	0	11	239	1	229	2.05e-171	476	100	229	0	0	1	229	11	239	1.92e-171	476
KY21.Chr1.1055	tr|F6YH10|F6YH10_CIOIN	99.571	466	2	0	5	470	1	466	0	974	99.571	466	2	0	1	466	5	470	0	974
KY21.Chr1.1056	tr|F6YHQ3|F6YHQ3_CIOIN	99.222	257	2	0	19	275	1	257	0	530	99.222	257	2	0	1	257	19	275	0	530
KY21.Chr1.1057	tr|F7BAG3|F7BAG3_CIOIN	95.821	335	14	0	635	969	1	335	0	647	95.821	335	14	0	1	335	635	969	0	647
KY21.Chr1.1058	tr|F6YHR0|F6YHR0_CIOIN	99.153	354	3	0	365	718	1	354	0	703	99.153	354	3	0	1	354	365	718	0	703
KY21.Chr1.1059	tr|F6Z0V4|F6Z0V4_CIOIN	100	283	0	0	1	283	1	283	0	583	100	283	0	0	1	283	1	283	0	583
KY21.Chr1.1060	tr|F6Z167|F6Z167_CIOIN	99.559	227	1	0	277	503	1	227	2.79e-158	458	99.559	227	1	0	1	227	277	503	1.24e-158	458
KY21.Chr1.1061	tr|F6Z194|F6Z194_CIOIN	100	427	0	0	5	431	1	427	0	883	100	427	0	0	1	427	5	431	0	883
KY21.Chr1.1062	tr|F6PZR6|F6PZR6_CIOIN	93.724	733	34	5	17	742	1	728	0	1332	93.724	733	34	5	1	728	17	742	0	1333
