Protein_Id	Gene_Symbol	Description	Group_ID	Number_of_peptides	Collapsed	Parsimony	default~ratios0 sum	TMTPro126	TMTPro128C	TMTPro129N	TMTPro130C	TMTPro131N	TMTPro131C	TMTPro133C	TMTPro134N	default~ratios9 sum
KY21.Chr3.1610.v1.SL2-1			0	64	C	UR	0	7.75616	6.72271	7.61342	7.39364	8.40299	7.94974	9.65916	8.50221	0
KY21.Chr8.789.v3.nonSL12-1			1	5	C	UR	0	0.409256	0.480479	0.64357	0.60329	0.74228	0.63709	0.76903	0.71502	0
KY21.Chr8.372.v1.SL1-1			1	1	C	UR	0	0.10602	0.079844	0.12297	0.12278	0.14741	0.12219	0.16367	0.13512	0
KY21.Chr5.531.v1.SL1-1			2	7	C	UR	0	1.13081	0.91608	0.99129	0.717353	0.87067	0.85732	0.850728	0.6658	0
KY21.Chr8.1153.v1.SL1-1			3	6	C	UR	0	0.367235	0.301267	0.408132	0.521661	0.97411	0.97897	1.26247	1.18615	0
KY21.Chr2.505.v2.nonSL3-1			4	6	C	UR	0	0.206793	0.218395	0.325567	0.510413	1.04722	1.16616	1.22916	1.29627	0
KY21.Chr2.36.v1.SL1-5			5	58	C	UR	0	8.02	6.81838	7.78066	6.51514	7.20817	6.79232	7.58449	7.2809	0
KY21.Chr5.591.v1.SL4-1			6	25	C	UR	0	3.35703	2.85718	3.28743	2.75002	3.12957	2.87694	3.5812	3.16062	0
KY21.Chr10.49.v1.SL2-1			7	12	C	UR	0	1.52106	0.861167	1.04596	1.07569	1.41824	1.50258	2.16853	2.40674	0
KY21.Chr3.1281.v1.nonSL7-1			8	14	C	UR	0	1.63297	1.45397	1.61725	1.66683	1.72607	1.78902	2.25256	1.86133	0
KY21.Chr4.943.v1.SL1-1			9	4	C	UR	0	0.457	0.0585547	0.0606063	0.0434378	0.49158	0.6132	1.13912	1.1365	0
KY21.Chr13.220.v1.SL1-1			9	16	C	UR	0	1.6466	1.29572	1.68769	1.61441	2.16839	2.08419	2.71986	2.78311	0
KY21.Chr1.1027.v2.nonSL3-1			9	7	C	UR	0	0.758105	0.651581	0.885627	0.758633	0.809143	0.82864	1.11664	1.19164	0
KY21.Chr6.243.v1.nonSL2-1			10	16	C	UR	0	2.11496	1.75288	1.99711	1.86735	2.12773	1.85467	2.42578	1.85952	0
KY21.Chr4.303.v1.SL2-1			11	17	C	UR	0	2.23241	1.92088	2.24131	1.93894	2.33352	1.89123	2.33045	2.11132	0
KY21.Chr12.789.v1.SL1-2			12	19	C	UR	0	2.17002	1.98224	2.16774	2.05693	2.50976	2.52428	2.66044	2.92859	0
KY21.Chr5.979.v1.SL1-1			13	7	C	UR	0	0.873192	0.85388	0.86023	0.89408	0.885131	0.844831	0.95548	0.833183	0
KY21.Chr2.1218.v1.SL2-1			14	8	C	UR	0	0.640734	0.514781	0.628954	0.699128	0.931	1.35168	1.53939	1.69433	0
KY21.Chr3.801.v1.SL1-2			16	15	C	UR	0	0.284966	0.341958	0.527427	0.873013	3.17301	4.521	3.21901	2.05961	0
KY21.Chr5.750.v1.ND1-1			17	2	C	UR	0	0.30428	0.27082	0.32787	0.18688	0.20791	0.189628	0.2646	0.24803	0
KY21.Chr1.2009.v1.ND1-1			18	841	C	UR	0	111.122	103.447	110.152	109.836	118.342	100.944	107.056	80.1014	0
KY21.Chr4.566.v1.SL1-1			19	11	C	UR	0	1.10919	0.898001	1.19868	1.26464	1.56921	1.46697	1.81735	1.67596	0
KY21.UAContig3.154.v1.ND1-1			20	6	C	UR	0	0.0612217	0.00715284	0.0209067	0.028711	0.537003	0.92603	2.07441	2.34456	0
KY21.Chr4.320.v1.nonSL13-2			21	6	C	UR	0	0.74768	0.616441	0.72633	0.71871	0.84362	0.73671	0.89	0.72052	0
KY21.Chr14.371.v1.SL1-1			22	9	C	UR	0	0.483442	0.452819	0.753188	0.452166	0.790731	0.856596	2.2321	2.97898	0
KY21.Chr8.479.v2.SL1-1			23	62	C	UR	0	6.53371	6.21171	7.58115	6.62493	8.23681	7.96469	9.82889	9.01816	0
KY21.Chr5.60.v1.SL1-1			24	1	C	UR	0	0.1189	0.17277	0.22312	0.10602	0.11344	0.10408	0.09596	0.065695	0
KY21.Chr11.673.v1.SL1-1			25	15	C	UR	0	1.99839	1.75653	2.05394	1.89781	2.01286	1.65068	1.95041	1.67941	0
KY21.Chr4.817.v2.SL4-1			26	8	C	UR	0	0.519112	0.42878	0.557087	0.610723	0.790256	0.92013	1.85544	2.31849	0
KY21.Chr4.817.v1.ND1-1			26	4	C	UR	0	0.178938	0.130093	0.206891	0.163354	0.308894	0.418966	1.08188	1.51098	0
KY21.Chr10.392.v1.SL1-1			27	9	C	UR	0	0.821609	0.729513	1.06123	0.505121	0.464374	0.441781	2.57705	2.39932	0
KY21.Chr7.682.v1.SL1-1			28	9	C	UR	0	1.00004	0.99429	1.11224	0.883489	1.15928	1.14637	1.49703	1.20727	0
KY21.Chr8.918.v1.nonSL2-1			29	39	C	UR	0	4.78603	4.11003	4.89084	4.45984	5.08005	4.57575	5.73516	5.36234	0
KY21.Chr2.1093.v1.SL2-1			30	11	C	UR	0	1.73222	1.46247	1.59976	0.71391	0.908773	0.996671	1.84001	1.7462	0
KY21.Chr2.467.v1.SL1-1			31	9	C	UR	0	0.830618	0.726621	0.927115	0.934286	1.05011	1.18954	1.71339	1.62832	0
KY21.Chr10.661.v1.nonSL2-1			32	7	C	UR	0	0.96279	0.85489	0.84905	0.79412	0.91285	0.81136	0.97877	0.836201	0
KY21.Chr1.1514.v1.ND1-1			33	23	C	UR	0	3.03578	2.54371	3.14962	2.86338	3.00777	2.77258	3.03813	2.58905	0
KY21.Chr1.659.v1.SL1-1			34	8	C	UR	0	0.945866	0.604208	0.779722	0.773061	0.91696	1.04424	1.50629	1.42964	0
KY21.Chr1.660.v1.SL1-1			34	2	C	UR	0	1.01418	0.129807	0.086168	0.0330437	0.0313393	0.0456207	0.23566	0.42419	0
KY21.Chr3.1082.v1.nonSL2-1			35	37	C	UR	0	0.0853775	0.0847442	0.278567	0.102618	1.18819	4.47019	11.307	19.4833	0
KY21.Chr14.759.v1.nonSL13-1			35	2	C	UR	0	0.00074722	0.00073854	0.00065083	0.0157859	0.0485756	0.189495	0.60247	1.14154	0
KY21.Chr1.1541.v1.nonSL2-1			36	4	C	UR	0	0.289544	0.24474	0.306032	0.405552	0.65954	0.63262	0.68086	0.78109	0
KY21.Chr13.263.v1.ND1-1			37	8	C	UR	0	0.563897	0.497053	0.706439	0.707248	0.924906	0.803918	1.92515	1.87138	0
KY21.Chr4.1051.v1.nonSL2-1			38	11	C	UR	0	1.64784	1.45701	1.59724	1.13994	1.2818	1.15937	1.40106	1.31575	0
KY21.Chr10.895.v1.SL1-1			39	22	C	UR	0	2.88092	2.38579	2.72371	2.47566	2.91096	2.58187	3.29967	2.74145	0
KY21.Chr11.477.v1.SL1-1			39	11	C	UR	0	1.24262	0.907215	1.11797	1.14105	1.41587	1.44808	1.90724	1.81994	0
KY21.Chr10.949.v1.SL1-1			40	62	C	UR	0	8.92621	7.6055	8.25602	6.22034	7.19159	6.64982	9.26558	7.88484	0
KY21.Chr10.955.v1.SL1-1			41	5	C	UR	0	0.65634	0.576394	0.72811	0.64016	0.71977	0.60457	0.606431	0.468191	0
KY21.Chr1.2095.v1.SL1-1			42	39	C	UR	0	0.479736	0.464884	0.552892	0.531057	0.514406	2.17962	11.6275	22.6499	0
KY21.Chr14.603.v1.SL1-1			43	2	C	UR	0	0.000979	0.00097218	0.00096907	0.00080221	0.038388	0.31422	0.60908	1.0346	0
KY21.Chr11.786.v1.SL1-1			44	37	C	UR	0	4.26025	3.74929	4.28036	4.0478	4.88837	4.23847	5.94893	5.58655	0
KY21.Chr2.46.v1.SL2-1			45	35	C	UR	0	4.43261	3.80529	4.54378	3.84008	4.28119	4.3051	5.15933	4.63257	0
KY21.Chr8.558.v1.SL1-1			46	11	C	UR	0	1.44744	1.2771	1.37117	1.35254	1.35606	1.28981	1.57334	1.33254	0
KY21.Chr4.175.v1.ND1-1			47	18	C	UR	0	2.43141	2.09703	2.35136	2.0702	2.18563	1.87841	2.55738	2.42853	0
KY21.Chr6.310.v1.ND1-1			48	12	C	UR	0	1.25541	1.12029	1.38446	1.59997	1.73362	1.63107	1.74516	1.53004	0
KY21.Chr1.1096.v1.SL2-2			49	39	C	UR	0	4.50932	3.81532	4.6214	4.35132	5.04323	5.25463	5.60966	5.7951	0
KY21.Chr2.988.v1.nonSL4-1			49	8	C	UR	0	0.860633	0.757331	0.858881	1.16967	1.29794	1.0809	1.09436	0.880249	0
KY21.Chr10.166.v1.SL2-1			50	22	C	UR	0	2.88817	2.44766	2.66042	2.87335	3.21852	2.65958	2.71785	2.53452	0
KY21.Chr4.180.v1.SL2-1			51	4	C	UR	0	0.32768	0.228331	0.313968	0.415834	0.54853	0.54099	0.774	0.85066	0
KY21.Chr3.33.v1.SL1-1			52	9	C	UR	0	0.916258	0.79339	1.01318	1.0975	1.27974	1.17989	1.40118	1.31887	0
KY21.Chr12.182.v1.SL3-1			53	3	C	UR	0	0.102295	0.102079	0.185156	0.32432	0.4552	0.5706	0.68328	0.57708	0
KY21.Chr11.140.v1.SL1-1			54	20	C	UR	0	2.51993	2.25417	2.56686	2.3274	2.60559	2.32597	2.74949	2.65058	0
KY21.Chr5.519.v1.SL1-1			55	20	C	UR	0	2.64497	2.3681	2.62599	2.20963	2.45594	2.18674	2.94866	2.55991	0
KY21.Chr3.123.v1.nonSL2-1			56	5	C	UR	0	0.422686	0.387081	0.399219	0.41662	0.63111	0.69404	0.98341	1.06583	0
KY21.Chr3.1147.v1.SL1-1			57	8	C	UR	0	0.842646	0.690827	0.86872	0.800188	1.00127	1.04265	1.41827	1.33547	0
KY21.Chr1.2024.v1.SL1-1			58	29	C	UR	0	3.19085	2.74369	3.37929	3.01281	3.48371	3.40623	5.06069	4.7228	0
KY21.Chr14.644.v1.nonSL3-1			59	10	C	UR	0	1.28274	1.08557	1.31864	0.924608	1.22394	1.10861	1.55097	1.50495	0
KY21.Chr4.851.v1.nonSL2-1			60	12	C	UR	0	0.321501	0.211117	0.293769	0.175999	0.30943	1.18808	3.08512	6.415	0
KY21.Chr8.758.v1.SL1-1			61	4	C	UR	0	0.402453	0.339564	0.420435	0.47072	0.56819	0.60293	0.59451	0.60119	0
KY21.Chr13.392.v1.SL1-3			62	7	C	UR	0	0.79975	0.736428	0.96449	0.853232	1.10952	0.765211	0.915783	0.855602	0
KY21.Chr9.1129.v1.SL1-1			63	18	C	UR	0	2.47321	2.08382	2.87684	2.41941	2.30586	1.90217	2.1563	1.78235	0
KY21.Chr6.473.v1.SL1-1			64	11	C	UR	0	1.35905	1.27809	1.38709	1.32441	1.47003	1.29044	1.46981	1.42106	0
KY21.Chr3.1104.v1.nonSL4-1			65	21	C	UR	0	0.0591469	0.0589431	0.172671	0.0484286	0.56083	2.47813	6.38703	11.2348	0
KY21.Chr14.406.v1.SL1-1			66	30	C	UR	0	3.86707	3.12326	3.91427	3.47802	3.98896	3.42946	4.35085	3.8481	0
KY21.Chr6.569.v1.SL1-1			67	2	C	UR	0	0.0008247	0.00698211	0.0217117	0.00735029	0.077419	0.41253	0.54443	0.92875	0
KY21.Chr2.585.v1.nonSL3-1			68	31	C	UR	0	4.24176	3.75734	3.96575	3.15429	3.51171	3.44103	4.8613	4.06677	0
KY21.Chr6.247.v1.nonSL1-1			69	21	C	UR	0	2.8432	2.35319	2.72328	2.60888	3.06215	2.42847	2.85791	2.12287	0
KY21.Chr10.776.v1.nonSL3-1			70	53	C	UR	0	7.50927	6.26237	6.93668	5.98872	6.82585	5.86289	7.08918	6.52507	0
##KY21.Chr11.253.v1.nonSL1-1		#### false discovery correction	71	1	C	UR	0	0.11948	0.10766	0.10198	0.13461	0.13747	0.12374	0.16308	0.11198	0
KY21.Chr7.128.v2.SL1-2			72	27	C	UR	0	1.91529	1.6772	2.25608	2.1821	2.77977	3.53114	6.15165	6.50675	0
KY21.Chr12.598.v1.SL1-1			73	16	C	UR	0	0.700266	0.624719	0.803254	2.31826	3.07195	2.89869	2.75267	2.83018	0
KY21.Chr11.1040.v1.SL1-1			74	20	C	UR	0	2.3551	2.04209	2.5886	2.50806	2.78181	2.42479	2.84308	2.45653	0
KY21.Chr5.512.v2.SL1-2			75	59	C	UR	0	7.25663	6.33534	7.73138	7.28136	7.97129	7.21638	7.97392	7.23369	0
KY21.Chr5.614.v1.nonSL2-1			76	21	C	UR	0	5.19065	4.43734	4.94989	3.17588	1.72404	0.671828	0.552286	0.298135	0
KY21.Chr12.578.v1.SL1-1			77	7	C	UR	0	0.89012	0.82235	0.99752	0.817551	0.909118	0.82724	1.00681	0.729306	0
KY21.Chr2.919.v1.ND1-1			78	14	C	UR	0	1.8356	1.5975	1.89304	1.51861	1.82842	1.64867	1.89765	1.7805	0
KY21.Chr6.399.v1.SL2-1			79	8	C	UR	0	1.09451	0.920818	1.04221	0.983	1.03303	0.91415	1.10459	0.907687	0
KY21.Chr10.712.v1.SL1-1			80	25	C	UR	0	3.52611	2.95554	3.58471	2.60984	2.89983	2.59578	3.59064	3.23756	0
KY21.Chr8.926.v1.nonSL2-1			81	32	C	UR	0	4.88784	4.11143	4.43083	3.6534	4.03313	3.47243	3.95249	3.45856	0
KY21.Chr1.1200.v1.nonSL3-1			82	1	C	UR	0	0.13902	0.11649	0.14064	0.11961	0.12646	0.11163	0.13829	0.10787	0
KY21.Chr14.238.v1.ND1-1			83	52	C	UR	0	6.35423	5.5699	6.62113	5.58249	6.29178	6.08259	8.04552	7.4524	0
KY21.Chr4.850.v1.SL1-1			84	11	C	UR	0	1.51418	1.28608	1.50114	1.43877	1.55094	1.3121	1.31772	1.07909	0
KY21.Chr4.46.v1.nonSL3-1			85	15	C	UR	0	1.77286	1.46524	1.8849	1.61583	1.91646	1.7316	2.37541	2.23766	0
KY21.Chr2.1004.v1.SL1-1			86	20	C	UR	0	2.8625	2.35034	2.6166	2.26856	2.60005	2.24863	2.71306	2.34034	0
KY21.Chr3.1608.v1.nonSL5-1			87	13	C	UR	0	0.474581	0.443034	1.00212	0.89622	1.37336	1.96137	3.40095	3.44837	0
KY21.Chr4.232.v1.SL1-1			87	3	C	UR	0	0.291544	0.264956	0.233314	0.223247	0.294332	0.44891	0.60159	0.6421	0
KY21.Chr3.1111.v1.nonSL2-1			88	9	C	UR	0	0.779145	0.673992	0.902338	1.15015	1.25729	1.1499	1.56121	1.52598	0
KY21.Chr11.204.v1.SL1-1			89	29	C	UR	0	3.41439	2.85602	3.4675	3.50662	4.03089	3.61336	4.0459	4.06538	0
KY21.Chr1.1934.v1.nonSL4-1			90	9	C	UR	0	0.699182	0.668157	1.0993	1.08486	1.1486	1.08347	1.62424	1.5922	0
KY21.Chr5.995.v1.nonSL4-1			91	24	C	UR	0	2.63311	2.24569	2.65556	2.92271	3.37715	3.17911	3.65286	3.33377	0
